PPID,EFFDT,EXPDT,FEATURECD,QSECT,CONV,PSECTPPID,PSECT,PTWPPPID,PTWP,PRGE,PMER
105836450,20000911,,OQSECPPID,NW,200,104255808,25,103005808,3,9,3
105836434,20151027,,OQSECPPID,NW,200,104215808,21,103005808,3,9,3
105836432,20151027,,OQSECPPID,SE,300,104215808,21,103005808,3,9,3
105836435,20151027,,OQSECPPID,NE,100,104215808,21,103005808,3,9,3
105836433,20151027,,OQSECPPID,SW,400,104215808,21,103005808,3,9,3
105836444,20000911,,OQSECPPID,SE,300,104245808,24,103005808,3,9,3
105836446,20000911,,OQSECPPID,NW,200,104245808,24,103005808,3,9,3
105836447,20000911,,OQSECPPID,NE,100,104245808,24,103005808,3,9,3
105836445,20000911,,OQSECPPID,SW,400,104245808,24,103005808,3,9,3
105836442,20000911,,OQSECPPID,NW,200,104235808,23,103005808,3,9,3
105836440,20000911,,OQSECPPID,SE,300,104235808,23,103005808,3,9,3
105836443,20000911,,OQSECPPID,NE,100,104235808,23,103005808,3,9,3
105836441,20000911,,OQSECPPID,SW,400,104235808,23,103005808,3,9,3
105836437,20000911,,OQSECPPID,SW,400,104225808,22,103005808,3,9,3
105836436,20151027,,OQSECPPID,SE,300,104225808,22,103005808,3,9,3
105836438,20000911,,OQSECPPID,NW,200,104225808,22,103005808,3,9,3
105836439,20151027,,OQSECPPID,NE,100,104225808,22,103005808,3,9,3
105836413,20151027,,OQSECPPID,SW,400,104165808,16,103005808,3,9,3
105836415,20151027,,OQSECPPID,NE,100,104165808,16,103005808,3,9,3
105836412,20151027,,OQSECPPID,SE,300,104165808,16,103005808,3,9,3
105836414,20151027,,OQSECPPID,NW,200,104165808,16,103005808,3,9,3
105836408,20000911,,OQSECPPID,SE,300,104155808,15,103005808,3,9,3
105836409,20000911,,OQSECPPID,SW,400,104155808,15,103005808,3,9,3
105836410,20000911,,OQSECPPID,NW,200,104155808,15,103005808,3,9,3
105836411,20000911,,OQSECPPID,NE,100,104155808,15,103005808,3,9,3
105836406,20000911,,OQSECPPID,NW,200,104145808,14,103005808,3,9,3
105836404,20000911,,OQSECPPID,SE,300,104145808,14,103005808,3,9,3
105836405,20000911,,OQSECPPID,SW,400,104145808,14,103005808,3,9,3
105836407,20000911,,OQSECPPID,NE,100,104145808,14,103005808,3,9,3
105836403,20000911,,OQSECPPID,NE,100,104135808,13,103005808,3,9,3
105836401,20000911,,OQSECPPID,SW,400,104135808,13,103005808,3,9,3
105836400,20000911,,OQSECPPID,SE,300,104135808,13,103005808,3,9,3
105836402,20000911,,OQSECPPID,NW,200,104135808,13,103005808,3,9,3
105836386,20151027,,OQSECPPID,NW,200,104095808,9,103005808,3,9,3
105836385,20151027,,OQSECPPID,SW,400,104095808,9,103005808,3,9,3
105836387,20151027,,OQSECPPID,NE,100,104095808,9,103005808,3,9,3
105836384,20151027,,OQSECPPID,SE,300,104095808,9,103005808,3,9,3
105836388,20000911,,OQSECPPID,SE,300,104105808,10,103005808,3,9,3
105836391,20000911,,OQSECPPID,NE,100,104105808,10,103005808,3,9,3
105836390,20000911,,OQSECPPID,NW,200,104105808,10,103005808,3,9,3
105836389,20000911,,OQSECPPID,SW,400,104105808,10,103005808,3,9,3
105816932,20090622,,OQSECPPID,SE,300,104065673,6,103005673,3,8,3
105816933,20090622,,OQSECPPID,SW,400,104065673,6,103005673,3,8,3
105816934,20090622,,OQSECPPID,NW,200,104065673,6,103005673,3,8,3
105816935,20090622,,OQSECPPID,NE,100,104065673,6,103005673,3,8,3
105816888,20000916,,OQSECPPID,SE,300,104315672,31,103005672,2,8,3
105816890,20000916,,OQSECPPID,NW,200,104315672,31,103005672,2,8,3
105816889,20000916,,OQSECPPID,SW,400,104315672,31,103005672,2,8,3
105816891,20150408,,OQSECPPID,NE,100,104315672,31,103005672,2,8,3
105797759,20000908,,OQSECPPID,NE,100,104365539,36,103005539,4,7,3
105797756,20000908,,OQSECPPID,SE,300,104365539,36,103005539,4,7,3
105797758,20000908,,OQSECPPID,NW,200,104365539,36,103005539,4,7,3
105797757,20000908,,OQSECPPID,SW,400,104365539,36,103005539,4,7,3
105797720,20000908,,OQSECPPID,SE,300,104275539,27,103005539,4,7,3
105797723,20000908,,OQSECPPID,NE,100,104275539,27,103005539,4,7,3
105797722,20000908,,OQSECPPID,NW,200,104275539,27,103005539,4,7,3
105797721,20000908,,OQSECPPID,SW,400,104275539,27,103005539,4,7,3
105797716,20000908,,OQSECPPID,SE,300,104265539,26,103005539,4,7,3
