PPID,EFFDT,EXPDT,FEATURECD,SECT,PTWPPPID,PTWP,PRGE,PMER
104153253,20000614,,OSECPPID,15,103003253,13,20,2
104213253,20000614,,OSECPPID,21,103003253,13,20,2
104183253,20000614,,OSECPPID,18,103003253,13,20,2
104173253,20000614,,OSECPPID,17,103003253,13,20,2
104293253,20000614,,OSECPPID,29,103003253,13,20,2
104353253,20150924,,OSECPPID,35,103003253,13,20,2
104323253,20000614,,OSECPPID,32,103003253,13,20,2
104243253,20150924,,OSECPPID,24,103003253,13,20,2
104143253,20150924,,OSECPPID,14,103003253,13,20,2
104033253,20150923,,OSECPPID,3,103003253,13,20,2
104103253,20140122,,OSECPPID,10,103003253,13,20,2
104043253,20000614,,OSECPPID,4,103003253,13,20,2
104083253,20140121,,OSECPPID,8,103003253,13,20,2
104013253,20210413,,OSECPPID,1,103003253,13,20,2
104363253,20150924,,OSECPPID,36,103003253,13,20,2
104133253,20150924,,OSECPPID,13,103003253,13,20,2
104233253,20150924,,OSECPPID,23,103003253,13,20,2
104063253,20150923,,OSECPPID,6,103003253,13,20,2
104313253,20000614,,OSECPPID,31,103003253,13,20,2
104263253,20150924,,OSECPPID,26,103003253,13,20,2
104283253,20000614,,OSECPPID,28,103003253,13,20,2
104163253,20000614,,OSECPPID,16,103003253,13,20,2
104093253,20021204,,OSECPPID,9,103003253,13,20,2
104123253,20150924,,OSECPPID,12,103003253,13,20,2
104303253,20000614,,OSECPPID,30,103003253,13,20,2
104253253,20150924,,OSECPPID,25,103003253,13,20,2
104053253,20150923,,OSECPPID,5,103003253,13,20,2
104253524,20201005,,OSECPPID,25,103003524,14,22,2
104363524,20180531,,OSECPPID,36,103003524,14,22,2
104133524,20000630,,OSECPPID,13,103003524,14,22,2
104243524,20200619,,OSECPPID,24,103003524,14,22,2
104343390,20120926,,OSECPPID,34,103003390,15,21,2
104193390,20180531,,OSECPPID,19,103003390,15,21,2
104033390,20000708,,OSECPPID,3,103003390,15,21,2
104313390,20180531,,OSECPPID,31,103003390,15,21,2
104233390,20120925,,OSECPPID,23,103003390,15,21,2
104113390,20120925,,OSECPPID,11,103003390,15,21,2
104243390,20120925,,OSECPPID,24,103003390,15,21,2
104213390,20000708,,OSECPPID,21,103003390,15,21,2
104273390,20000708,,OSECPPID,27,103003390,15,21,2
104073390,20180531,,OSECPPID,7,103003390,15,21,2
104053390,20180531,,OSECPPID,5,103003390,15,21,2
104123390,20151116,,OSECPPID,12,103003390,15,21,2
104173390,20180531,,OSECPPID,17,103003390,15,21,2
104293390,20180531,,OSECPPID,29,103003390,15,21,2
104153390,20000708,,OSECPPID,15,103003390,15,21,2
104163390,20000708,,OSECPPID,16,103003390,15,21,2
104263390,20120925,,OSECPPID,26,103003390,15,21,2
104353390,20120926,,OSECPPID,35,103003390,15,21,2
104093390,20000708,,OSECPPID,9,103003390,15,21,2
104013390,20150923,,OSECPPID,1,103003390,15,21,2
104063390,20180531,,OSECPPID,6,103003390,15,21,2
104043390,20000708,,OSECPPID,4,103003390,15,21,2
104133390,20120925,,OSECPPID,13,103003390,15,21,2
104083390,20180531,,OSECPPID,8,103003390,15,21,2
104283390,20000708,,OSECPPID,28,103003390,15,21,2
104183390,20200804,,OSECPPID,18,103003390,15,21,2
104333390,20120926,,OSECPPID,33,103003390,15,21,2
104143390,20120925,,OSECPPID,14,103003390,15,21,2
104363390,20120925,,OSECPPID,36,103003390,15,21,2
104103390,20000708,,OSECPPID,10,103003390,15,21,2
104303390,20180531,,OSECPPID,30,103003390,15,21,2
104253390,20120925,,OSECPPID,25,103003390,15,21,2
104223390,20000708,,OSECPPID,22,103003390,15,21,2
104203390,20180531,,OSECPPID,20,103003390,15,21,2
104323390,20180531,,OSECPPID,32,103003390,15,21,2
104023390,20120925,,OSECPPID,2,103003390,15,21,2
104083389,20000708,,OSECPPID,8,103003389,14,21,2
104043389,20010706,,OSECPPID,4,103003389,14,21,2
104123389,20000708,,OSECPPID,12,103003389,14,21,2
104253389,20000708,,OSECPPID,25,103003389,14,21,2
104113389,20000708,,OSECPPID,11,103003389,14,21,2
104243389,20150923,,OSECPPID,24,103003389,14,21,2
104203389,20150923,,OSECPPID,20,103003389,14,21,2
104303389,20000708,,OSECPPID,30,103003389,14,21,2
104033389,20000708,,OSECPPID,3,103003389,14,21,2
104183389,20000708,,OSECPPID,18,103003389,14,21,2
104233389,20150923,,OSECPPID,23,103003389,14,21,2
104273389,20000708,,OSECPPID,27,103003389,14,21,2
104363389,20000708,,OSECPPID,36,103003389,14,21,2
104103389,20000708,,OSECPPID,10,103003389,14,21,2
104143389,20000708,,OSECPPID,14,103003389,14,21,2
104353389,20000708,,OSECPPID,35,103003389,14,21,2
104213389,20150923,,OSECPPID,21,103003389,14,21,2
104223389,20000708,,OSECPPID,22,103003389,14,21,2
104023389,20000708,,OSECPPID,2,103003389,14,21,2
104293389,20000708,,OSECPPID,29,103003389,14,21,2
104013389,20000708,,OSECPPID,1,103003389,14,21,2
104173389,20000708,,OSECPPID,17,103003389,14,21,2
104053389,20000708,,OSECPPID,5,103003389,14,21,2
104263389,20000708,,OSECPPID,26,103003389,14,21,2
104073389,20000708,,OSECPPID,7,103003389,14,21,2
104153389,20000708,,OSECPPID,15,103003389,14,21,2
104283389,20000708,,OSECPPID,28,103003389,14,21,2
104333389,20000708,,OSECPPID,33,103003389,14,21,2
104093389,20000708,,OSECPPID,9,103003389,14,21,2
104063389,20000708,,OSECPPID,6,103003389,14,21,2
104163389,20000708,,OSECPPID,16,103003389,14,21,2
104313389,20180531,,OSECPPID,31,103003389,14,21,2
104343389,20000708,,OSECPPID,34,103003389,14,21,2
104193389,20150923,,OSECPPID,19,103003389,14,21,2
104323389,20180531,,OSECPPID,32,103003389,14,21,2
104133389,20210126,,OSECPPID,13,103003389,14,21,2
104343255,20070424,,OSECPPID,34,103003255,15,20,2
104303255,20120925,,OSECPPID,30,103003255,15,20,2
104263255,20180307,,OSECPPID,26,103003255,15,20,2
104043255,20000614,,OSECPPID,4,103003255,15,20,2
104183255,20120925,,OSECPPID,18,103003255,15,20,2
104123255,20150915,,OSECPPID,12,103003255,15,20,2
104093255,20000614,,OSECPPID,9,103003255,15,20,2
104173255,20000614,,OSECPPID,17,103003255,15,20,2
104243255,20180511,,OSECPPID,24,103003255,15,20,2
104293255,20000614,,OSECPPID,29,103003255,15,20,2
104233255,20000614,,OSECPPID,23,103003255,15,20,2
104053255,20120925,,OSECPPID,5,103003255,15,20,2
104103255,20000614,,OSECPPID,10,103003255,15,20,2
104213255,20000614,,OSECPPID,21,103003255,15,20,2
104163255,20000614,,OSECPPID,16,103003255,15,20,2
104113255,20000614,,OSECPPID,11,103003255,15,20,2
104323255,20000614,,OSECPPID,32,103003255,15,20,2
104013255,20150915,,OSECPPID,1,103003255,15,20,2
104133255,20150915,,OSECPPID,13,103003255,15,20,2
104063255,20120925,,OSECPPID,6,103003255,15,20,2
104033255,20000614,,OSECPPID,3,103003255,15,20,2
104193255,20120925,,OSECPPID,19,103003255,15,20,2
104283255,20070709,,OSECPPID,28,103003255,15,20,2
104223255,20000614,,OSECPPID,22,103003255,15,20,2
104363255,20150915,,OSECPPID,36,103003255,15,20,2
104313255,20120925,,OSECPPID,31,103003255,15,20,2
104353255,20180307,,OSECPPID,35,103003255,15,20,2
104253255,20150915,,OSECPPID,25,103003255,15,20,2
104143255,20000614,,OSECPPID,14,103003255,15,20,2
104203255,20000614,,OSECPPID,20,103003255,15,20,2
104023255,20170223,,OSECPPID,2,103003255,15,20,2
104083255,20120925,,OSECPPID,8,103003255,15,20,2
104273255,20070709,,OSECPPID,27,103003255,15,20,2
104073255,20120925,,OSECPPID,7,103003255,15,20,2
104153255,20000614,,OSECPPID,15,103003255,15,20,2
104333255,20000614,,OSECPPID,33,103003255,15,20,2
104243254,20150923,,OSECPPID,24,103003254,14,20,2
104273254,20091104,,OSECPPID,27,103003254,14,20,2
104183254,20000614,,OSECPPID,18,103003254,14,20,2
104103254,20000614,,OSECPPID,10,103003254,14,20,2
104303254,20000614,,OSECPPID,30,103003254,14,20,2
